Measurements are in microvolts RMS per root Hz.  ,,
Frequency (Hz),Noise source (uV),Amp only (uV)
500,593.8,23.53
1000,404.8,18.56
2000,279.7,18.47
4000,194.1,18.56
8000,134.8,17.89
16000,93.69,17.78
32000,66.92,17.71
64250,48.62,17.53
88000,46.12,17.7
