Frequency (kHz),sqrt(PSD) uV/sqrt(Hz),PSD (uV)^2/Hz
0.25,909.9,827918.01
0.5,653,426409
0.75,495.1,245124.01
1,412.9,170486.41
1.25,362.1,131116.41
2,291.2,84797.44
4,205.5,42230.25
8,151.4,22921.96
10.5,134.2,18009.64
20,101.6,10322.56
30.5,86.87,7546.3969
40.25,76.59,5866.0281
50.25,67.3,4529.29
60.25,62.05,3850.2025
70,58.82,3459.7924
80.75,52.93,2801.5849
90.5,50.61,2561.3721
97.75,47.85,2289.6225
