40.0k,20.0k,15.0k,9.99k,7.50k,4.99k,2.50k,1.00k,0k
0.00798,0.005723,0.00503,0.004091,0.003633,0.002991,0.002162,0.001401,0.00057
0.007966,0.005791,0.00497,0.004046,0.003597,0.002987,0.002168,0.001403,0.000572
0.007963,0.005696,0.004999,0.004094,0.003631,0.00299,0.002157,0.001378,0.000571
0.007835,0.005737,0.00503,0.004115,0.003605,0.002996,0.002183,0.001403,0.000569
0.007925,0.005724,0.005059,0.004095,0.003629,0.002987,0.002162,0.001401,0.000575
