40.0k,20.0k,15.0k,9.99k,7.50k,4.99k,2.50k,1.00k,0k
0.004269,0.003058,0.002683,0.00222,0.001969,0.001646,0.001193,0.000885,0.000568
0.004225,0.003046,0.002678,0.002218,0.001965,0.001638,0.001197,0.000875,0.000566
0.004264,0.003093,0.002662,0.002214,0.001946,0.001651,0.0012,0.00088,0.00057
0.004253,0.003068,0.002668,0.002203,0.001965,0.00165,0.001192,0.000894,0.000572
0.004235,0.003088,0.002662,0.002216,0.00196,0.001637,0.001192,0.00088,0.00057
