Emission Current (mA),V_rms (V)
0.010,0.007520
0.011,0.007652
0.012,0.007932
0.013,0.008139
0.014,0.008260
0.015,0.008506
0.018,0.009045
0.026,0.010350
0.034,0.011520
0.042,0.012770
0.050,0.013560
0.058,0.014510
0.066,0.015290
0.074,0.016120
0.082,0.016800
0.090,0.017540
0.098,0.018550
0.106,0.019210
0.114,0.019730
