0.132mA,0.1213mA,0.1147mA,0.1047mA,0.0947mA,0.0828mA,0.0735mA,0.064mA,0.0535mA,0.0438mA,0.0355mA,0.0226mA,0.0111mA,0.0048mA,0.0023mA,0.001mA,0.0003mA,0mA
0.01182,0.01132,0.0109,0.01033,0.009699,0.009119,0.008546,0.008099,0.007391,0.006797,0.006271,0.005311,0.004294,0.003587,0.003297,0.003128,0.003032,0.002978
0.01177,0.01125,0.01091,0.01037,0.009759,0.009219,0.008605,0.008065,0.007473,0.006901,0.00633,0.005302,0.004274,0.003633,0.003287,0.003102,0.00306,0.002975
0.01184,0.0114,0.01093,0.01041,0.009825,0.009179,0.008652,0.008147,0.007451,0.006875,0.006343,0.005324,0.004242,0.00361,0.003322,0.003112,0.003021,0.00296
0.01182,0.01132,0.01099,0.0104,0.009879,0.00926,0.008639,0.008086,0.007452,0.006884,0.006247,0.005316,0.004285,0.003584,0.003301,0.003143,0.003036,0.002996
0.01184,0.0114,0.01091,0.01047,0.009898,0.009213,0.008739,0.008092,0.007479,0.00696,0.006328,0.005327,0.004245,0.003609,0.003301,0.003117,0.003007,0.002971
