R (kΩ),Vrms 295 K,Vrms 77 K
40.0,0.00799,0.00428
20.0,0.005782,0.003095
15.0,0.005062,0.002701
10.0,0.004139,0.002212
7.50,0.003637,0.001968
4.99,0.00298,0.001628
2.50,0.002148,0.001219
1.00,0.001444,0.0009027
0,0.0005892,0.0005841
